geocode,publisher,activity_or_facility,row_count
E09000025,Bookwhen,"Body Combat™, Group Exercise, Martial Arts Fitness, Step machine, Voguing",4
E09000025,British Triathlon,Triathlon,1
E09000025,Everyone Active,,52045
E09000025,Everyone Active,Aqua Aerobics,5
E09000025,Everyone Active,Swimming,30
E09000025,Everyone Active,Zumba®,5
E09000025,GLL,"Active for Life, Swimming",31
E09000025,GLL,"Adult Activities, Swimming",27
E09000025,GLL,"Badminton, Swimming",118
E09000025,GLL,"Birthday Parties, Swimming",3
E09000025,GLL,"Cycling, Swimming",1
E09000025,GLL,"Fitness Classes, Swimming",1834
E09000025,GLL,"Gym Workout, Swimming",576
E09000025,GLL,"Kids Activities , Swimming",160
E09000025,GLL,"Legs, Bums & Tums, Swimming",51
E09000025,GLL,"Para-cycling , Swimming",1
E09000025,GLL,Swimming,460
E09000025,GLL,"Swimming, Swimming",561
E09000025,GoodGym,Running,9
E09000025,Our Parks,Abs/Core,11
E09000025,Our Parks,Bootcamp,34
E09000025,Our Parks,Boxing Fitness,33
E09000025,Our Parks,Pilates,21
E09000025,Our Parks,Running,34
E09000025,TeamUp,,555
E09000025,Vision Redbridge,,225
E09000025,Waltham Forest Council,Sports Hall,18712
E09000026,Actihire,Sports Hall,78
E09000026,Bookwhen,"Aerobics, Group Exercise",48
E09000026,Bookwhen,Hatha Yoga,76
E09000026,Bookwhen,Pilates,64
E09000026,England Netball,Netball,3
E09000026,GoodGym,Running,13
E09000026,TeamUp,,243
E09000026,TeamUp,Pilates,3
E09000026,Vision Redbridge,,60
E09000027,Better,Aerobics,24
E09000027,Better,Aqua Aerobics,172
E09000027,Better,Ballet Fitness,52
E09000027,Better,Body Conditioning,148
E09000027,Better,Boxfit,96
E09000027,Better,Circuit Training,104
E09000027,Better,"Core Stability, Abs/Core, Group Exercise",52
E09000027,Better,"Dance Fitness, Group Exercise",52
E09000027,Better,Group Exercise,144
E09000027,Better,"Hatha Yoga, Yoga",200
E09000027,Better,HIIT,96
E09000027,Better,Indoor Cycling,680
E09000027,Better,Legs Bums And Tums,48
E09000027,Better,Pilates,504
E09000027,Better,Pump Fx,124
E09000027,Better,Swimming,10324
E09000027,Better,Swimming Lessons,152
E09000027,Better,Tai Chi,28
E09000027,Better,Yoga,52
E09000027,Better,Zumba®,152
E09000027,Bookwhen,"Breathwork, Meditation, Yoga",4
E09000027,Bookwhen,Forest School,16
E09000027,British Triathlon,Triathlon,4
E09000027,Exercise Anywhere,Nordic Walking,12
E09000027,GLL,"Adult Activities, Swimming",30
E09000027,GLL,"Badminton, Swimming",8
E09000027,GLL,"Fitness Classes, Swimming",1458
E09000027,GLL,"Gym Workout, Swimming",278
E09000027,GLL,"Kids Activities , Swimming",98
E09000027,GLL,"Legs, Bums & Tums, Swimming",29
E09000027,GLL,Swimming,256
E09000027,GLL,"Swimming, Swimming",70
E09000027,GoodGym,Running,12
E09000027,Our Parks,Bootcamp,25
E09000027,QH Memorial Sports Ground - River Pitches,Sports Hall,5668
E09000027,Stanley Primary School,Sports Hall,3942
E09000027,TeamUp,,7983
E09000027,TeamUp,Pilates,36
E09000028,,,804
E09000028,Bookwhen,Gymnastics,32
E09000028,British Triathlon,Triathlon,1
E09000028,GoodGym,Running,40
E09000028,LRSO,Sports Hall,85192
E09000028,Played,Badminton,28
E09000028,Playwaze,Swimming,4
E09000028,Southwark Council,,25130
E09000028,Southwark Council,Gym Workout,5
E09000028,Southwark Council,Sports Hall,1908
E09000028,TeamUp,,5667
E09000029,Better,Aerobics,48
E09000029,Better,Body Conditioning,172
E09000029,Better,"Body Conditioning, Group Exercise",24
E09000029,Better,Boxfit,28
E09000029,Better,Circuit Training,100
E09000029,Better,"Core Stability, Abs/Core, Group Exercise",176
E09000029,Better,"Dance Fitness, Group Exercise",80
E09000029,Better,Functional Fitness,24
E09000029,Better,Group Exercise,28
E09000029,Better,Gymnastics,428
E09000029,Better,"Hatha Yoga, Yoga",48
E09000029,Better,HIIT,128
E09000029,Better,Indoor Cycling,24
E09000029,Better,Legs Bums And Tums,48
E09000029,Better,Multisports,1632
E09000029,Better,Pilates,216
E09000029,Better,Pump Fx,48
E09000029,Better,Tennis,72
E09000029,Better,Trampolining,852
E09000029,Better,Walking Cricket,28
E09000029,Bookwhen,"Fitness Yoga, Hatha Yoga, Yoga",12
E09000029,Bookwhen,"Hatha Yoga, Yoga",36
E09000029,Bookwhen,"Yin Yoga, Yoga",4
E09000029,Bookwhen,Zumba®,4
E09000029,Bookwhen,Zumba® Gold,4
E09000029,Everyone Active,,107005
E09000029,Everyone Active,Bodybalance™,5
E09000029,Everyone Active,Circuit Training,5
E09000029,Everyone Active,KFA Seated/Chair,5
E09000029,Everyone Active,Swimming,265
E09000029,GLL,"Adult Activities, Swimming",4
E09000029,GLL,"Fitness Classes, Swimming",142
E09000029,GLL,"Gym Workout, Swimming",26
E09000029,GLL,"Gymnastics, Swimming",12
E09000029,GLL,"Legs, Bums & Tums, Swimming",9
E09000029,GLL,Swimming,7
E09000029,GLL,"Trampoline Park, Swimming",41
E09000029,LRSO,Sports Hall,57848
E09000029,NXT Level Sport & Education Ltd,Sports Hall,2998
E09000029,Our Parks,Bootcamp,20
E09000030,,Tennis,71
E09000030,Be Well - London Borough of Tower Hamlets,,32045
E09000030,GoodGym,Running,23
E09000030,Our Parks,Abs/Core,52
E09000030,Playwaze,Other,40
E09000031,Better,Aerobics,228
E09000031,Better,Aqua Aerobics,744
E09000031,Better,"Aqua Fit (Deep Water), Aqua Aerobics",80
E09000031,Better,Athletics,232
E09000031,Better,Badminton,328
E09000031,Better,Ballet Fitness,76
E09000031,Better,Basketball,48
E09000031,Better,Body Conditioning,816
E09000031,Better,"Body Conditioning, Group Exercise",104
E09000031,Better,Boxfit,404
E09000031,Better,Circuit Training,248
E09000031,Better,Climbing,2240
E09000031,Better,"Core Stability, Abs/Core, Group Exercise",436
E09000031,Better,Dance Fitness,120
E09000031,Better,"Dance Fitness, Group Exercise",176
E09000031,Better,Equestrian,1092
E09000031,Better,Football,24
E09000031,Better,Functional Fitness,172
E09000031,Better,Group Exercise,224
E09000031,Better,"Group Exercise, Trampoline Fitness",44
E09000031,Better,Gym Workout,104
E09000031,Better,"Hatha Yoga, Yoga",1068
E09000031,Better,HIIT,916
E09000031,Better,Ice Skating,6896
E09000031,Better,Indoor Cycling,1956
E09000031,Better,"Indoor Rowing, Group Exercise",84
E09000031,Better,Legs Bums And Tums,748
E09000031,Better,Multisports,500
E09000031,Better,Pickleball,136
E09000031,Better,Pilates,1188
E09000031,Better,Pump Fx,404
E09000031,Better,Rebound,24
E09000031,Better,Soft Play,42600
E09000031,Better,Step Aerobics,248
E09000031,Better,Swimming,32048
E09000031,Better,Swimming Lessons,576
E09000031,Better,"Swimming, Aqua Aerobics",104
E09000031,Better,Table Tennis,396
E09000031,Better,Tennis,524
E09000031,Better,Trampolining,208
E09000031,Better,Wheelchair Tennis,48
E09000031,Better,Yoga,28
E09000031,Better,Zumba®,208
E09000031,Exercise Anywhere,Nordic Walking,69
E09000031,GLL,"Adult Activities, Swimming",86
E09000031,GLL,"Athletics, Swimming",141
E09000031,GLL,"Badminton, Swimming",41
E09000031,GLL,"Basketball, Swimming",6
E09000031,GLL,"Clip 'n Climb, Swimming",18
E09000031,GLL,Fitness Classes,8
E09000031,GLL,"Fitness Classes, Gym Workout",8
E09000031,GLL,"Fitness Classes, Swimming",2473
E09000031,GLL,"Gym Workout, Swimming",1173
E09000031,GLL,Ice Skating,16
E09000031,GLL,"Ice Skating, Swimming",203
E09000031,GLL,"Kids Activities , Swimming",44
E09000031,GLL,"Legs, Bums & Tums, Swimming",210
E09000031,GLL,"Senior  Activities, Swimming",33
E09000031,GLL,"Social Activities, Swimming",8
E09000031,GLL,"Squash, Swimming",44
E09000031,GLL,Swimming,740
E09000031,GLL,"Swimming, Swimming",555
E09000031,GLL,"Tennis, Swimming",20
E09000031,GLL,"Trampoline Park, Swimming",9
E09000031,GoodGym,Running,1
E09000031,Our Parks,Bootcamp,36
E09000031,TeamUp,,3438
E09000031,Waltham Forest Council,Sports Hall,312324
E09000032,Better,Kayaking,92
E09000032,Better,Powerboating,448
E09000032,Better,Sailing,460
E09000032,Exercise Anywhere,Nordic Walking,15
E09000032,Football 567,Sports Hall,224
E09000032,GLL,"Fitness Classes, Swimming",8
E09000032,GLL,"Watersports, Swimming",18
E09000032,GoodGym,Running,8
E09000032,Places Leisure,,67130
E09000032,Places Leisure,Body Conditioning,5
E09000032,Places Leisure,Indoor Cycling,5
E09000032,Places Leisure,Pilates,5
E09000033,,Sports Hall,7567
E09000033,Everyone Active,,203050
E09000033,Everyone Active,Soft Play,5
E09000033,Everyone Active,Swimming,5
E09000033,Everyone Active,Yoga,10
E09000033,GLL,"Fitness Classes, Swimming",232
E09000033,GLL,"Legs, Bums & Tums, Swimming",12
E09000033,GoodGym,Running,10
E09000033,Open Sessions,20-20-20,2
E09000033,Our Parks,Abs/Core,80
E09000033,Our Parks,Bootcamp,207
E09000033,Our Parks,Dance Fitness,35
E09000033,Our Parks,Pilates,34
E09000033,Our Parks,Yoga,69
E09000033,Playwaze,Body Conditioning,4
E09000033,Playwaze,FitSteps® Original,40
E09000033,Playwaze,Football,4
E09000033,Playwaze,Other,12
E09000033,Playwaze,Tennis,60
E09000033,TeamUp,,333
N09000001,Better,Body Conditioning,24
N09000001,Better,Boxfit,4
N09000001,Better,Circuit Training,24
N09000001,Better,"Core Stability, Abs/Core, Group Exercise",8
N09000001,Better,Group Exercise,16
N09000001,Better,"Hatha Yoga, Yoga",4
N09000001,Better,HIIT,20
N09000001,Better,Indoor Cycling,28
N09000001,Better,Legs Bums And Tums,8
N09000001,Better,Multisports,12
N09000001,Better,Pilates,8
N09000001,Better,Zumba®,8
N09000003,Better,Aerobics,20
N09000003,Better,Aqua Aerobics,116
N09000003,Better,Ballet Fitness,4
N09000003,Better,Body Conditioning,364
N09000003,Better,"Body Conditioning, Group Exercise",256
N09000003,Better,Boxfit,48
N09000003,Better,Circuit Training,204
N09000003,Better,"Core Stability, Abs/Core, Group Exercise",108
N09000003,Better,"Dance Fitness, Group Exercise",16
N09000003,Better,Functional Fitness,28
N09000003,Better,Group Exercise,248
N09000003,Better,"Group Exercise, Body Conditioning",8
N09000003,Better,"Group Exercise, Circuit Training",28
N09000003,Better,Gymnastics,152
N09000003,Better,"Hatha Yoga, Yoga",356
N09000003,Better,HIIT,100
N09000003,Better,Indoor Cycling,368
N09000003,Better,Judo,116
N09000003,Better,Legs Bums And Tums,128
N09000003,Better,Multisports,20
N09000003,Better,Pilates,196
N09000003,Better,Pump Fx,60
N09000003,Better,Rock Climbing,1972
N09000003,Better,Soft Play,6244
N09000003,Better,"Spinning, Indoor Cycling",16
N09000003,Better,Step Aerobics,4
N09000003,Better,Strength and Conditioning,4
N09000003,Better,Surfing,516
N09000003,Better,Swimming,173964
N09000003,Better,Swimming Lessons,8
N09000003,Better,Tai Chi,52
N09000003,Better,Tennis,52
N09000003,Better,Trampolining,48
N09000003,Better,Walking Football,5068
N09000003,Better,Wheelchair Tennis,16
N09000003,Better,Yoga,8
N09000003,Better,Zumba®,108
N09000003,GLL,"Adult Activities, Swimming",282
N09000003,GLL,"Children's Activities, Swimming",49
N09000003,GLL,"Diving , Swimming",8
N09000003,GLL,"Family Activities, Swimming",5
N09000003,GLL,Fitness Classes,27
N09000003,GLL,"Fitness Classes, Swimming",2922
N09000003,GLL,"Fitness classes, Swimming",40
N09000003,GLL,"Games, Swimming",52
N09000003,GLL,Gym Workout,31
N09000003,GLL,"Gym Workout, Swimming",1665
N09000003,GLL,"Kids Activities , Swimming",36
N09000003,GLL,"Laser tag , Swimming",53
N09000003,GLL,"Legs, Bums & Tums, Swimming",167
N09000003,GLL,"Libraries, Swimming",6
N09000003,GLL,"Senior  Activities, Swimming",23
N09000003,GLL,Swimming,610
N09000003,GLL,"Swimming, Swimming",2259
N09000003,GLL,"Tennis, Swimming",44
N09000003,Playwaze,Dodgeball,8
N09000004,TeamUp,,3267
N09000008,Upshot,,1
N09000011,Serco Leisure,,7947
N09000011,TeamUp,,2709
S12000006,Bookwhen,Dance Fitness,12
S12000006,Bookwhen,Yoga,12
S12000006,TeamUp,,4875
S12000006,TeamUp,Abs/Core,6
S12000006,TeamUp,HIIT,6
S12000010,Bookwhen,"Ashtanga Yoga, Yoga",20
S12000017,Exercise Anywhere,Nordic Walking,24
S12000019,Bookwhen,"Ashtanga Yoga, Pilates, Yoga",4
S12000019,Bookwhen,Yoga,4
S12000019,TeamUp,,3564
S12000019,TeamUp,Group Exercise,3
S12000019,TeamUp,Pilates,3
S12000029,TeamUp,,8541
S12000035,British Triathlon,Triathlon,1
S12000035,Playwaze,FitSteps®,8
S12000036,Bookwhen,Badminton,208
S12000036,Bookwhen,Clubbercise,20
S12000036,Bookwhen,"Functional Fitness, Table Tennis",12
S12000036,Bookwhen,"Group Exercise, Table Tennis",36
S12000036,Bookwhen,Table Tennis,24
S12000036,Bookwhen,Vinyasa Yoga,76
S12000036,Places Leisure,,4280
S12000036,Places Leisure,Abs/Core,20
S12000036,Places Leisure,Body Conditioning,5
S12000036,Places Leisure,Bodybalance™,5
S12000036,Places Leisure,Bodypump™,5
S12000036,Places Leisure,Boxfit,5
S12000036,Places Leisure,Dance,5
S12000036,Places Leisure,Group Exercise,5
S12000036,Places Leisure,Legs Bums And Tums,10
S12000036,Places Leisure,Stretch Class,15
S12000040,British Triathlon,Duathlon,1
S12000041,ANGUSalive,,38682
S12000045,Playwaze,FitSteps®,12
S12000047,Bookwhen,Ashtanga Yoga,4
S12000047,Bookwhen,Yoga,32
S12000047,British Triathlon,Aquathlon,1
S12000047,British Triathlon,Triathlon,4
S12000047,Exercise Anywhere,Nordic Walking,6
S12000047,Playwaze,FitSteps®,16
S12000047,Playwaze,FitSteps® Original,20
S12000048,British Triathlon,Duathlon,1
S12000048,Exercise Anywhere,Nordic Walking,3
S12000049,TeamUp,,807
S12000049,Upshot,,80
W06000001,British Triathlon,Triathlon,1
W06000002,Bangor City Stadium,Sports Hall,16300
W06000002,British Triathlon,"Duathlon, Triathlon",1
W06000002,British Triathlon,Triathlon,4
W06000003,British Triathlon,Triathlon,2
W06000004,British Triathlon,Triathlon,1
W06000005,Bookwhen,Qigong,40
W06000005,The Sports Warehouse (Flint) LTD,Sports Hall,19656
W06000008,Playwaze,Basketball,4
W06000009,Pembrokeshire Leisure,,87875
W06000009,Pembrokeshire Leisure,"Tai Chi, Group Exercise",5
W06000010,British Triathlon,Swimming,1
W06000010,British Triathlon,Triathlon,4
W06000010,FZ 2024 Ltd,Sports Hall,1152
W06000011,British Triathlon,Swimming,3
W06000011,British Triathlon,Triathlon,2
W06000011,British Triathlon,"Triathlon, Swimming",3
W06000011,Playwaze,Ballet Fitness,4
W06000011,Playwaze,Dance,36
W06000011,Playwaze,FitSteps®,36
W06000011,Playwaze,Tap Fitness,12
W06000012,British Triathlon,Triathlon,3
W06000013,Brynteg School,Sports Hall,25884
W06000013,Halo,,71274
W06000013,Playwaze,FitSteps® FAB,8
W06000013,Playwaze,FitSteps® Original,8
W06000014,British Triathlon,Triathlon,1
W06000014,"Parkwood Leisure Ltd, its subsidiaries and partner organisations",,24558
W06000014,Playwaze,7-a-side,4
W06000015,Better,Aerobics,180
W06000015,Better,Aqua Aerobics,556
W06000015,Better,Badminton,300
W06000015,Better,Basketball,1448
W06000015,Better,Body Combat™,152
W06000015,Better,Body Conditioning,904
W06000015,Better,"Body Conditioning, Group Exercise",460
W06000015,Better,Bowls,104
W06000015,Better,Boxfit,180
W06000015,Better,Circuit Training,980
W06000015,Better,"Core Stability, Abs/Core, Group Exercise",24
W06000015,Better,Crossfit,72
W06000015,Better,Cycling,1644
W06000015,Better,"Dance Fitness, Group Exercise",52
W06000015,Better,Football,96
W06000015,Better,Functional Fitness,64
W06000015,Better,Group Exercise,80
W06000015,Better,"Group Exercise, Body Conditioning",72
W06000015,Better,"Hatha Yoga, Yoga",816
W06000015,Better,HIIT,468
W06000015,Better,Indoor Cycling,1180
W06000015,Better,Legs Bums And Tums,360
W06000015,Better,Martial Arts Fitness,20
W06000015,Better,Multisports,2468
W06000015,Better,Pickleball,732
W06000015,Better,Pilates,748
W06000015,Better,Pump Fx,168
W06000015,Better,Soft Play,27336
W06000015,Better,Step Aerobics,132
W06000015,Better,Strength and Conditioning,108
W06000015,Better,Swimming,47564
W06000015,Better,Swimming Lessons,452
W06000015,Better,Table Tennis,496
W06000015,Better,Tai Chi,776
W06000015,Better,Walking Football,24
W06000015,Better,Water-Based Classes,80
W06000015,Better,Zumba®,504
W06000015,British Triathlon,Triathlon,1
W06000015,GLL,"Adult Activities, Games",10
W06000015,GLL,"Adult Activities, Swimming",173
W06000015,GLL,"Athletics, Swimming",136
W06000015,GLL,"Badminton, Swimming",46
W06000015,GLL,"Basketball, Swimming",9
W06000015,GLL,"Children's Activities, Swimming",27
W06000015,GLL,"Cycling, Swimming",92
W06000015,GLL,"Fitness Classes, Swimming",2505
W06000015,GLL,"Fitness classes, Swimming",38
W06000015,GLL,"Football, Swimming",8
W06000015,GLL,"Gym Workout, Swimming",891
W06000015,GLL,"Healthwise, Swimming",38
W06000015,GLL,"Kids Activities , Swimming",169
W06000015,GLL,"Legs, Bums & Tums, Swimming",116
W06000015,GLL,"Netball draft, Swimming",46
W06000015,GLL,"Senior  Activities, Swimming",17
W06000015,GLL,"Sports Activity Courses, Swimming",25
W06000015,GLL,"Strength Basics, Swimming",30
W06000015,GLL,Swimming,295
W06000015,GLL,"Swimming, Senior  Activities",9
W06000015,GLL,"Swimming, Swimming",891
W06000015,GoodGym,Running,8
W06000015,"Parkwood Leisure Ltd, its subsidiaries and partner organisations",,17244
W06000015,Playwaze,Acting,8
W06000015,Playwaze,Cycling,88
W06000015,Playwaze,Gym Workout,32
W06000015,Playwaze,Other,20
W06000015,Playwaze,Running,24
W06000015,Playwaze,Walking,16
W06000015,TeamUp,,864
W06000015,TeamUp,Bootcamp,3
W06000016,Playwaze,Dodgeball,4
W06000019,British Triathlon,Triathlon,5
W06000020,Halo,,6870
W06000021,Playwaze,Pilates,20
W06000023,Playwaze,Basketball,12
W06000023,Playwaze,Boardgames,4
W06000023,Playwaze,Boccia,8
W06000023,Playwaze,Brazilian jiu-jitsu,24
W06000023,Playwaze,Dance,4
W06000023,Playwaze,Equestrian > Pony Trekking,80
W06000023,Playwaze,Football,4
W06000023,Playwaze,Group Exercise,4
W06000023,Playwaze,Gym Workout,16
W06000023,Playwaze,Judo,4
W06000023,Playwaze,Karate,16
W06000023,Playwaze,Konga®,12
W06000023,Playwaze,Multi Dance,4
W06000023,Playwaze,Multi Fitness,4
W06000023,Playwaze,Pilates,4
W06000023,Playwaze,Running,8
W06000023,Playwaze,Swimming Lessons,40
W06000023,Playwaze,Table Tennis,4
W06000023,Playwaze,Walking,100
W06000023,Playwaze,Walking Netball,8
W06000023,Playwaze,Yoga,4
W06000023,Playwaze,Zumba®,24
W06000024,Halo,,20070
W06000024,Playwaze,Dance Fitness,12
